compound	BLK_1	PB_PM1	PB_PM10	PB_PM11	PB_PM12	PB_PM2	PB_PM3	PB_PM4	PB_PM5	PB_PM6	PB_PM7	PB_PM8	PB_PM9	PM1_D0	PM1_D10	PM1_D30	PM1_D50	PM10_D0	PM10_D10	PM10_D30	PM10_D50	PM11_D0	PM11_D10	PM11_D30	PM11_D50	PM12_D0	PM12_D10	PM2_D0	PM2_D10	PM2_D30	PM2_D50	PM3_D0	PM3_D10	PM3_D30	PM3_D50	PM4_D0	PM4_D10	PM4_D30	PM4_D50	PM5_D0	PM5_D10	PM5_D30	PM5_D50	PM6_D0	PM6_D10	PM6_D30	PM6_D50	PM7_D0	PM7_D10	PM7_D30	PM7_D50	PM8_D0	PM8_D10	PM8_D30	PM8_D50	PM9_D0	PM9_D10	PM9_D30	PM9_D50	QC2	QC3	QC4	QC5	QC6	QC7
ft278	162043	95476	273686	NA	334026	130952	125110	114024	NA	87033	195145	280737	294833	128670	215897	271415	67257	365253	NA	153991	NA	262204	116069	118927	196592	299713	135882	NA	NA	126191	196008	292531	146480	118584	268536	306160	NA	45765	130447	294623	133586	130796	132401	137328	134586	NA	271025	344334	260199	111793	471909	NA	70963	277923	130598	401324	323420	NA	NA	292187	NA	289898	252999	100569	133799
ft351	NA	NA	NA	205624	NA	NA	49551	NA	46183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft304	NA	NA	NA	NA	NA	66879	NA	168828	NA	251710	NA	271883	94956	NA	NA	NA	NA	14155	NA	NA	12559	10782	NA	10465	15470	15385	NA	13989	11101	NA	16127	NA	19858	18395	16754	NA	NA	17292	16957	NA	NA	NA	9577	17806	17271	5886	NA	15002	NA	18266	NA	NA	NA	NA	NA	22625	11491	7136	NA	39416	34652	NA	NA	22122	20416
ft318	17949	NA	77715	NA	26031	NA	NA	NA	NA	NA	NA	NA	NA	17256	115333	18718	NA	NA	NA	NA	NA	NA	NA	51206	NA	NA	NA	NA	NA	63573	NA	NA	NA	NA	111189	8472	NA	NA	NA	14490	NA	NA	NA	NA	NA	NA	8372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15447	NA	NA	17739	NA	17260
ft346	NA	NA	NA	NA	NA	NA	NA	NA	129576	NA	NA	NA	31600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41269	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft284	125498	20124	NA	NA	NA	NA	NA	NA	NA	NA	118948	NA	NA	NA	25519	119467	35137	116440	NA	65010	136157	99476	16815	22891	NA	NA	24127	NA	NA	20523	NA	NA	110443	108183	21989	44795	NA	119188	NA	120224	116020	17653	63923	127306	NA	26084	107849	126751	27649	17502	NA	60786	NA	NA	NA	NA	NA	25648	141782	23464	NA	51971	NA	NA	NA
ft319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33027	NA	NA	NA	NA	NA	NA	NA	NA	152002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	137751	NA	NA	137212	52730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft270	NA	454359	285776	725178	519272	455973	743312	651963	592764	146467	772188	740119	579761	202865	763829	234348	238488	NA	183757	NA	204782	224499	235406	174401	124324	176503	337562	572150	176563	568090	497886	567106	243186	211462	157481	343475	3447638	NA	417817	NA	269752	217518	NA	NA	227123	183408	193293	206941	301401	201252	330833	329757	133124	235723	369038	232626	170369	200685	NA	328677	351868	348392	330409	275848	333749
ft271	NA	50107	38824	25039	18185	15395	63484	24972	36888	25732	35002	51418	24053	73319	NA	68501	46616	25003	29898	NA	54064	56190	51905	98327	79233	82385	57731	78858	41278	19862	28083	72356	61494	147305	182454	NA	NA	NA	72718	49635	NA	72673	NA	47842	44463	NA	NA	66298	NA	65523	NA	NA	NA	50270	96449	31138	58228	77653	18812	NA	44158	NA	50547	67706	29300
ft336	NA	NA	17966	NA	16136	NA	NA	NA	26572	16376	NA	15159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14919	NA	NA	NA	NA	NA	NA	7227	NA	NA	NA	NA	NA	NA	NA	26928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24513	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft326	NA	94707	NA	NA	NA	NA	111983	192293	NA	NA	NA	NA	NA	NA	214283	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52472	NA	NA	15775	NA	NA	NA	98035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47146
ft268	109097	50328	100186	192200	98816	104883	86692	86321	105405	79752	112926	87594	91311	117016	110389	117968	71001	115306	141369	143168	135720	138537	100612	104492	117001	128966	115933	66543	114506	91900	108392	111197	109339	100400	99971	112075	NA	113957	105261	52482	77229	81301	132659	116696	113062	125086	89608	119564	135975	98470	126769	123510	132293	100578	114124	126073	111869	120798	129591	107602	120800	124854	114234	99654	102124
ft291	NA	NA	59094	65366	63601	NA	NA	57901	86356	NA	NA	60702	NA	30515	53619	54789	36010	NA	NA	58685	63220	NA	NA	41343	NA	54333	197191	10134	38082	NA	NA	41300	NA	37452	51506	38066	NA	NA	43497	113530	56437	37069	NA	NA	45285	54898	46374	67890	NA	47494	59568	52751	NA	28966	53872	NA	NA	NA	NA	49621	55559	36868	166412	37516	42929
ft341	NA	NA	64383	NA	NA	NA	NA	NA	NA	34732	NA	NA	170420	NA	121197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28605	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82842	NA	NA	NA
ft290	55196	NA	NA	NA	NA	NA	NA	142790	NA	NA	NA	NA	NA	18278	44142	20157	NA	NA	17909	16911	17648	13508	101588	19295	44725	18340	17486	14969	21621	194946	15420	20230	15513	18523	16084	14152	NA	12343	16956	11854	23583	12047	25731	22151	11411	26552	NA	30722	19379	14315	NA	22045	NA	11670	22169	21805	27158	30576	16104	NA	NA	NA	NA	NA	NA
ft273	NA	3980170	10058779	5918557	6792748	3266198	4062682	3325541	NA	6565914	NA	5556256	3100238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1039838	1060931	902335	962793	710409	876370
ft296	NA	NA	NA	NA	NA	847292	NA	NA	3274420	NA	1511340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
