Metabolite	PB_PM1	PB_PM10	PB_PM11	PB_PM12	PB_PM2	PB_PM3	PB_PM4	PB_PM5	PB_PM6	PB_PM7	PB_PM8	PB_PM9	PM1_D0	PM1_D10	PM1_D30	PM1_D50	PM10_D0	PM10_D10	PM10_D30	PM10_D50	PM11_D0	PM11_D10	PM11_D30	PM11_D50	PM12_D0	PM12_D10	PM2_D0	PM2_D10	PM2_D30	PM2_D50	PM3_D0	PM3_D10	PM3_D30	PM3_D50	PM4_D0	PM4_D30	PM4_D50	PM5_D0	PM5_D10	PM5_D30	PM5_D50	PM6_D0	PM6_D10	PM6_D30	PM6_D50	PM7_D0	PM7_D10	PM7_D30	PM7_D50	PM8_D0	PM8_D30	PM8_D50	PM9_D0	PM9_D10	PM9_D30	PM9_D50	QC2	QC3	QC4	QC5	QC6	QC7
ft593	10516875	1656218	24628152	15020360	8601139	23454836	16938345	23642477	16952939	8659803	1618958	7176350	10836324	25748338	NA	1444026	14316963	16945811	7332543	1288442	9482607	9008062	NA	NA	328665	20579162	22169824	999644	13869490	8798285	2128003	15013509	14039440	18180586	7912529	13430100	2420427	8202746	648047	NA	9076520	13771009	4058173	926730	9698577	1846698	1757377	1052560	8152603	15536409	1182755	NA	10912327	13795218	19052396	12281178	17275130	NA	8038149	17620039	14642473	16134973
ft589	24155	62321	69777	14385	67603	206391	69542	103440	13755	75328	96018	18280	193359	1241489	189765	635646	544239	640590	579651	278785	150894	617177	326523	47777	302402	NA	903409	120447	2800824	323119	378630	547774	378349	NA	1286440	513570	1220804	775763	372691	184503	3295415	608407	233387	258884	281760	489371	1061301	341087	1678958	1311431	1195328	2220433	317085	104823	315839	248337	584919	610883	594209	576165	446219	549220
ft608	17384	11503	29025	NA	23268	22482	NA	36270	20184	NA	19749	25672	26834	86069	25285	19444	56894	39482	67732	39873	18192	70004	38170	NA	18879	100109	64251	NA	169784	89010	NA	30867	31644	24753	148207	36353	52824	115492	30895	60234	298166	82993	37937	77230	26317	NA	28793	12820	42145	151944	39362	86386	33428	16233	59651	13917	44085	50022	48977	48008	34897	45113
ft632	447240	1775583	598194	825584	846891	688277	657656	821854	820009	1090811	1080885	582958	62887	236017	43648	23091	200731	69003	42900	275458	29298	100130	64192	15589	35762	55118	124659	112776	190738	NA	85891	116457	69312	113661	74295	168572	87340	314458	58322	64066	369801	46748	37945	38679	194984	28256	47143	36592	143813	697713	70907	726351	24643	17305	138261	51084	227499	242975	249890	238310	165508	227301
ft622	124702	134788	428863	115355	220468	1001598	334060	1116096	168327	231089	371285	627236	96956	1100954	258730	142424	105443	NA	90457	NA	35843	86286	94773	NA	26679	94286	406341	33740	2190423	1004478	45747	44128	56042	41191	137801	NA	194606	83747	51873	101259	310136	83320	49781	52627	34287	44626	33610	35902	34361	137500	NA	NA	56987	85048	56346	30648	194405	202197	200893	231348	145863	227423
ft624	346161	472427	933298	365730	1070141	1972916	1375845	1882794	366679	633649	885825	1648340	256982	1406487	351638	134467	86006	NA	40529	76548	96995	44585	NA	NA	NA	NA	559345	214920	801894	393000	172502	295165	184677	84691	337064	NA	203475	188335	158829	146684	394114	188893	72797	212310	151730	NA	159442	104523	181407	416259	222256	244200	105112	29819	NA	NA	349157	350341	372800	356477	283325	351003
ft627	324141	612657	910696	730132	NA	1845624	884603	3274326	622004	2268884	954840	403616	793894	1598185	767323	1421247	754997	911964	1107579	NA	584183	1268083	1334699	72426	722049	3148516	1970579	360737	1494912	1574110	NA	NA	2246531	768509	1532372	1525531	1399793	NA	1333217	1141926	2485886	1262482	965296	709809	741994	489515	1604084	561975	1283675	1515104	903427	3873205	700305	556753	1416826	568744	1256376	1349311	1065259	1250582	830623	927706
ft628	NA	NA	NA	6745	NA	NA	178746	NA	NA	NA	NA	NA	4058121	6075546	720329	680501	3911326	1433323	6457253	2509273	3589900	1008082	783558	53764	1148894	4725392	10909622	1798968	3193355	8206137	3785106	697067	3813064	2681507	5651518	1435604	5428995	4828009	2054713	2425643	17693875	4858266	1289950	5809044	4823813	4587629	2156796	1260026	2024799	4694481	3174556	9132916	3506542	1012197	3784386	2573286	2983109	3196879	3040774	3020836	2188594	2643786
ft625	1077978	887266	879989	307948	338884	5063779	2749823	1538592	1654915	2952254	857208	1464573	31569610	4392126	22411407	34534234	50968060	25288286	44116279	38200154	37443017	40118443	37421875	2338709	17919606	22824638	46318848	16022922	46994280	47921256	26083229	33919070	31608919	27420836	46340145	52717477	50133124	50514301	35009936	44266297	57689532	41808557	41072606	18667425	40529211	33467725	44581164	23106870	56182999	46376442	42060066	50217220	51543807	28871969	48197583	24362364	42991832	44304557	45116823	47825013	42475623	35574836
ft655	106239	292735	141736	182811	171455	182240	174174	186460	157082	246111	211645	151254	59385	NA	36845	47065	38850	30223	23587	29874	NA	NA	24706	NA	39098	42044	113756	35233	NA	107699	32207	NA	27712	18074	52141	17676	50514	41437	14639	23269	67912	23161	18548	20339	15565	15533	21068	19684	37450	56935	28067	69594	30255	23201	30110	NA	53539	63425	52772	55262	41537	49542
